Date,vix,vxn,vxd,spy.PERMNO,spy.PRC,spy.OPENPRC,dia.PERMNO,dia.PRC,dia.OPENPRC,qqq.PERMNO,qqq.PRC,qqq.OPENPRC
7/23/2001,23.74,49.98,22.18,84398,118.95,121.8,85765,103.9,106.22,86755,40.61,42.24
7/24/2001,25.24,52.36,23.28,84398,117.8,119,85765,102.65,103.8,86755,40.15,40.381
7/25/2001,24,50.39,22.58,84398,119.1,117.92,85765,103.95,102.7,86755,40.5,40.141
7/26/2001,23.01,48,22.02,84398,120.35,119.06,85765,104.64,103.7,86755,41.1,40.45
7/27/2001,22,47.27,21.87,84398,120.81,120.83,85765,104.35,104.55,86755,41.95,41.64
7/30/2001,22.69,47.98,22.26,84398,120.85,121.19,85765,104.07,104.65,86755,41.7,42.13
7/31/2001,21.62,46.35,21.2,84398,121.35,121,85765,105.03,104.25,86755,41.76,41.84
8/1/2001,20.56,45.54,20.69,84398,122.11,121.97,85765,105.29,105.78,86755,43.1,42.637
8/2/2001,20.09,45.36,20.3,84398,122.61,123.23,85765,105.6,106.25,86755,43.91,43.799
8/3/2001,19.89,45.5,20.25,84398,121.94,122.36,85765,105.38,105.7,86755,43.18,43.53
8/6/2001,21.89,47.31,21.83,84398,120.3,121.35,85765,103.94,105,86755,42.5,42.539
8/7/2001,21.01,47.35,20.88,84398,120.77,120.27,85765,104.56,104.1,86755,42.28,42.1
8/8/2001,22.32,46.72,22.07,84398,118.53,120.12,85765,102.96,104.19,86755,40.5,41.85
8/9/2001,21.75,46.9,21.34,84398,118.88,118.7,85765,103.15,102.99,86755,40.67,40.41
8/10/2001,20.55,47.12,20.94,84398,119.29,118.8,85765,104.23,102.93,86755,40.28,40.429
8/13/2001,20.42,48.19,21.64,84398,119.32,119.6,85765,104.19,104.2,86755,41.1,40.59
8/14/2001,20.48,48.4,21.6,84398,119.27,120.14,85765,104.31,104.5,86755,40.6,41.49
8/15/2001,20.91,48.19,21.67,84398,118.24,119.23,85765,103.57,104.31,86755,39.1,40.62
8/16/2001,21.54,49.13,22.11,84398,118.65,117.8,85765,104.25,103.32,86755,39.56,38.649
8/17/2001,23.84,50.34,24.23,84398,116.75,117.65,85765,102.5,103.15,86755,37.76,38.441
8/20/2001,22.87,50.7,22.84,84398,117.83,116.8,85765,103.58,102.4,86755,38.28,37.85
8/21/2001,24.4,51.22,23.25,84398,115.82,117.8,85765,101.5,103.5,86755,36.69,38.29
8/22/2001,22.44,49.69,22.42,84398,117.02,116.75,85765,102.88,102.2,86755,37.69,37.45
8/23/2001,22.23,47.97,22.5,84398,116.6,116.96,85765,102.45,102.65,86755,37.32,37.679
8/24/2001,19.71,45.76,20.25,84398,119.02,117.21,85765,104.63,102.75,86755,39.3,37.86
8/27/2001,20.56,46.01,20.86,84398,118.31,118.97,85765,103.91,104.5,86755,39.35,39.28
8/28/2001,22,46.78,21.48,84398,116.58,118.28,85765,102.32,103.99,86755,38.12,39.32
8/29/2001,23.03,47.12,22.41,84398,115.54,117.13,85765,101.19,102.7,86755,37.56,38.37
8/30/2001,25.41,49.43,23.95,84398,113.32,114.85,85765,99.26,100.54,86755,36.17,36.8
8/31/2001,24.92,49.77,24.38,84398,114.15,113.4,85765,99.88,99.4,86755,36.17,36.038
9/4/2001,25.85,52.75,24.81,84398,113.42,113.85,85765,99.97,99.7,86755,35.47,36.518
9/5/2001,26.35,52.9,25.25,84398,113.7,113.7,85765,100.56,100,86755,35.33,35.49
9/6/2001,28.61,55.43,26.97,84398,110.77,112.65,85765,98.35,99.8,86755,33.9,34.74
9/7/2001,30.99,56.97,28.26,84398,108.72,110.02,85765,95.85,97.61,86755,33.7,33.621
9/10/2001,31.84,57.41,28.36,84398,110.05,107.7,85765,96.45,95.17,86755,34.1,33.49
9/17/2001,41.76,67.99,33.38,84398,104.3,101,85765,89.1,90.5,86755,31.2,31.25
9/18/2001,38.87,66.22,34.99,84398,104.05,104.33,85765,89.4,89.75,86755,30.5,31.53
9/19/2001,40.56,67.64,37.58,84398,101.95,104.1,85765,87.47,89.43,86755,29.97,30.64
9/20/2001,43.74,71.72,39.52,84398,98.71,100.4,85765,83.65,86.5,86755,28.97,29.3
9/21/2001,42.66,68.83,39.86,84398,97.28,94.05,85765,82.8,80.05,86755,28.19,27.41
9/24/2001,37.75,61.4,34.96,84398,100.7,99.729,85765,86.2,85.46,86755,29.61,29.08
9/25/2001,35.81,59.07,33.85,84398,101.75,100.751,85765,86.9,86.25,86755,29.7,29.71
9/26/2001,35.26,57.55,33.58,84398,101.39,102.35,85765,86.05,87.39,86755,28.67,29.95
9/27/2001,34,56.99,32.88,84398,102.27,101.25,85765,86.75,86,86755,28.48,28.4
9/28/2001,31.93,55.89,31.37,84398,104.44,102.98,85765,88.35,87.25,86755,28.98,28.84
10/1/2001,32.32,56.52,31.41,84398,104.27,103.9,85765,88.68,87.85,86755,28.73,28.85
10/2/2001,31.18,55.67,30.14,84398,105.58,104,85765,89.7,88.32,86755,28.82,28.65
10/3/2001,31.34,54.99,29.86,84398,107.35,104.6,85765,91.2,88.75,86755,31,28.429
10/4/2001,31.97,54.82,30,84398,107.44,108.29,85765,90.9,91.9,86755,31.3,31.65
10/5/2001,33.39,55.69,31.24,84398,107.23,107.25,85765,91.12,90.5,86755,31.76,31
10/8/2001,35.12,58.48,32.65,84398,106.53,106.279,85765,90.7,90.2,86755,31.86,31.13
10/9/2001,34.83,58.55,32.73,84398,105.96,106.61,85765,90.63,90.99,86755,31.09,31.86
10/10/2001,31.6,58.96,30.05,84398,108.32,105.8,85765,92.55,90.2,86755,32.5,30.871
10/11/2001,31.5,55.22,29.93,84398,110,108.95,85765,94.2,93.1,86755,34.7,33.192
10/12/2001,35.27,58.83,32.33,84398,109.5,109.15,85765,93.59,93.2,86755,34.55,34.33
10/15/2001,35.31,61.31,33.62,84398,109.3,108.63,85765,93.57,93,86755,34.4,34.12
10/16/2001,32.88,58.51,31.54,84398,109.99,109.8,85765,93.95,93.9,86755,34.96,34.669
10/17/2001,35.08,60.82,33.46,84398,107.65,111.07,85765,92.01,95.1,86755,32.45,35.87
10/18/2001,34.95,63.06,33.51,84398,107.42,107.82,85765,91.99,92.25,86755,33.33,32.7
10/19/2001,34.11,61.95,32.69,84398,107.35,107,85765,91.9,91.65,86755,33.55,32.869
10/22/2001,32.25,61.13,31.06,84398,109.47,107.3,85765,94.05,91.9,86755,34.45,33.44
10/23/2001,32,59.26,30.47,84398,108.91,109.96,85765,93.6,94.4,86755,34.63,34.822
10/24/2001,30.95,57.48,30.12,84398,108.62,108.98,85765,93.45,93.65,86755,35.38,34.6
10/25/2001,29.46,53.37,28.69,84398,110.57,107.45,85765,94.98,92.5,86755,36.8,34.705
10/26/2001,28.42,53.43,28.03,84398,110.32,109.95,85765,95.24,94.43,86755,36.01,36.5
10/29/2001,31.64,57.65,31.08,84398,107.45,110.16,85765,93.06,95.05,86755,34.04,36
10/30/2001,33.46,60.09,32.14,84398,106.16,107.35,85765,91.15,92.1,86755,33.38,33.71
10/31/2001,33.56,58.93,33,84398,105.8,106.9,85765,90.68,91.92,86755,33.9,34.04
11/1/2001,32.31,57.53,31.51,84398,108.51,106.6,85765,92.5,91.15,86755,35.34,34.44
11/2/2001,30.71,58.13,30.55,84398,109.25,108.44,85765,93.41,92.5,86755,35.6,35.271
11/5/2001,30.5,58.65,30.21,84398,110.68,110.12,85765,94.5,94.25,86755,36.76,36.26
11/6/2001,28.8,57.81,28.86,84398,112.4,110.35,85765,96.15,94.25,86755,38.19,36.609
11/7/2001,29.13,57.79,28.77,84398,112.25,111.77,85765,95.75,95.38,86755,38.14,37.61
11/8/2001,28.62,58.42,28.22,84398,112.6,112.87,85765,96.23,96.3,86755,37.75,38.551
11/9/2001,27.44,58.2,27.94,84398,112.72,112.25,85765,96.31,95.77,86755,37.73,37.598
11/12/2001,29.35,60.74,29.56,84398,112.03,111,85765,95.53,95.2,86755,38,37
11/13/2001,26.47,57.43,27.48,84398,114.55,113.44,85765,97.8,96.79,86755,39.36,39.03
11/14/2001,26.56,57.83,27.32,84398,114.66,115.17,85765,98.55,98.45,86755,39.64,39.96
11/15/2001,25.56,57.78,25.29,84398,114.87,114.37,85765,99.14,98.3,86755,39.48,39.162
11/16/2001,25.07,55.09,24.4,84398,114.36,115.08,85765,98.87,99.16,86755,39.37,39.48
11/19/2001,24.46,51.88,23.55,84398,115.77,114.92,85765,100.1,99.45,86755,40.49,39.79
11/20/2001,24.12,52.08,23.67,84398,114.8,115.37,85765,99.13,99.7,86755,38.62,40.08
11/21/2001,24.19,52.05,23.22,84398,114.04,114.501,85765,98.4,99.1,86755,38.64,38.47
11/23/2001,23.25,50.09,22.68,84398,115.68,114.04,85765,99.9,98.55,86755,39.28,38.76
11/26/2001,23.79,48.78,23.61,84398,115.93,115.75,85765,99.8,99.95,86755,40.25,39.58
11/27/2001,24,49.34,24.12,84398,115.43,115.62,85765,98.92,99.5,86755,40.2,40.05
11/28/2001,25.9,51.17,25.25,84398,113.34,114.74,85765,97.3,98.42,86755,38.75,39.73
11/29/2001,25.18,48.69,24.13,84398,114.87,113.662,85765,98.8,97.55,86755,39.95,39.035
11/30/2001,23.84,47.54,23.92,84398,114.05,114.4,85765,98.59,98.42,86755,39.65,39.73
12/3/2001,25.77,49.22,24.81,84398,113.37,113.65,85765,97.8,98.1,86755,38.97,39.29
12/4/2001,24.08,47.2,23.19,84398,115.29,113.918,85765,99.45,98.3,86755,40.83,39.34
12/5/2001,23.02,46.1,22.55,84398,117.4,115.61,85765,101.2,99.73,86755,42.85,41.208
12/6/2001,23.71,46.95,23.23,84398,117.34,117.349,85765,101.3,101.22,86755,42.91,42.709
12/7/2001,23.49,47.66,23.25,84398,116.56,116.9,85765,100.9,100.82,86755,41.73,42.488
12/10/2001,25.62,48.22,23.85,84398,114.38,115.85,85765,99.4,100.35,86755,41,41.325
12/11/2001,25.3,47.49,23.51,84398,114.15,114.9,85765,99.05,99.79,86755,41.23,41.46
12/12/2001,24.87,44.65,23.62,84398,114.28,114.55,85765,99.23,99.4,86755,41.56,41.5
12/13/2001,25.91,47.83,24.84,84398,112.06,113.45,85765,97.6,98.3,86755,39.76,40.71
12/14/2001,24.63,48.35,23.98,84398,113.13,112.33,85765,98.6,97.81,86755,40.11,39.872
12/17/2001,24.26,47.37,23.26,84398,114.3,112.99,85765,99.3,98.35,86755,40.8,40.02
12/18/2001,23.29,45.23,22.55,84398,114.98,114.63,85765,100.4,99.86,86755,41.26,41.16
12/19/2001,22.58,45.59,21.52,84398,115.79,114.09,85765,101.16,99.6,86755,40.51,40.56
12/20/2001,23.67,48.11,23.04,84398,114.65,115.5,85765,100.21,100.8,86755,38.79,40.1
12/21/2001,22.5,45.74,22.51,84398,114.95,115.03,85765,100.5,100.55,86755,39.48,39.422
12/24/2001,22.62,45.57,22.33,84398,114.73,114.83,85765,100.49,100.52,86755,39.32,39.54
12/26/2001,22.29,44.78,21.68,84398,115.36,114.65,85765,101.13,100.49,86755,39.69,39.374
12/27/2001,21.59,43.2,21.83,84398,116.06,115.301,85765,101.49,101.12,86755,40.01,39.85
12/28/2001,21.4,41.89,21.85,84398,116,116.29,85765,101.16,101.7,86755,40.33,40.292
12/31/2001,23.8,44.45,23.1,84398,114.3,116.15,85765,99.8,101.34,86755,38.91,40.31
1/2/2002,22.71,44.38,20.62,84398,115.53,115.11,85765,100.85,100.48,86755,40.11,39.57
1/3/2002,21.34,43.04,19.29,84398,116.84,115.65,85765,101.95,100.8,86755,41.5,40.31
1/4/2002,20.45,42.39,18.41,84398,117.62,117.17,85765,102.82,102.36,86755,41.67,41.95
1/7/2002,21.94,44.6,19.54,84398,116.79,117.7,85765,102.14,102.87,86755,41.21,42.118
1/8/2002,21.83,44.01,19.89,84398,116.52,116.798,85765,101.74,101.55,86755,41.49,41.108
1/9/2002,22.13,44.44,21.2,84398,115.57,116.68,85765,100.86,101.95,86755,41.11,42.04
1/10/2002,22.36,44.21,21.86,84398,116.08,115.695,85765,100.9,100.95,86755,41.38,41.174
1/11/2002,22.6,43.77,22.29,84398,114.94,116.21,85765,100.07,100.92,86755,40.85,41.357
1/14/2002,23.58,45.45,23.34,84398,114.22,114.65,85765,99.15,99.74,86755,39.96,40.49
1/15/2002,22.7,43.8,22.54,84398,115.15,114.55,85765,99.5,99.35,86755,40.34,40.036
1/16/2002,23.45,44.89,23.87,84398,112.82,114.3,85765,97.14,98.6,86755,38.78,39.538
1/17/2002,22.25,42.57,22.54,84398,113.67,113.76,85765,98.23,97.849,86755,39.65,39.48
1/18/2002,22.52,43.87,22.06,84398,113.15,113,85765,97.9,97.48,86755,38.59,38.83
1/22/2002,23.61,46.13,23.06,84398,112.37,113.75,85765,97.28,98.34,86755,37.4,39
1/23/2002,21.88,43.78,22.28,84398,113.23,112.63,85765,97.4,97.45,86755,38.43,37.65
1/24/2002,21.15,42.92,21.27,84398,113.58,113.64,85765,98.08,97.94,86755,38.94,38.94
1/25/2002,21.01,40.93,20.67,84398,113.55,113.12,85765,98.48,97.66,86755,38.83,38.472
1/28/2002,21.14,40.34,21.06,84398,113.86,113.9,85765,98.88,98.86,86755,39.05,39.154
1/29/2002,24.35,41.92,23.63,84398,110.28,113.851,85765,96.19,98.95,86755,37.98,39.132
1/30/2002,23.22,40.73,22.96,84398,111.87,110.39,85765,97.84,96.5,86755,38.27,38.001
1/31/2002,21.09,38.11,21.55,84398,113.18,112.15,85765,99.24,98.05,86755,38.51,38.578
2/1/2002,21.12,38.59,21.39,84398,112.65,113.09,85765,99.28,99.11,86755,38.14,38.401
2/4/2002,24.87,41.78,23.38,84398,109.85,112.23,85765,97,99.1,86755,36.92,37.961
2/5/2002,25.45,42.36,24.47,84398,109.17,109.4,85765,96.8,96.55,86755,36.31,36.59
2/6/2002,26.09,44.48,24.9,84398,108.7,109.65,85765,96.63,97.03,86755,36.06,36.84
2/7/2002,25.11,45.94,24.34,84398,108.02,108.72,85765,96.17,96.73,86755,35.19,35.996
2/8/2002,23.26,43.99,22.88,84398,110.09,108.63,85765,97.62,96.6,86755,36.17,35.46
2/11/2002,21.78,42.59,22.31,84398,111.44,110.05,85765,98.85,97.6,86755,36.63,36.14
2/12/2002,21.62,41.35,21.84,84398,111.09,110.96,85765,98.79,98.46,86755,36.33,36.312
2/13/2002,20.85,40.01,20.81,84398,112.27,111.481,85765,100.05,99.16,86755,36.95,36.722
2/14/2002,21.77,38.41,21.5,84398,112.06,112.51,85765,100.3,100.4,86755,36.88,37.15
2/15/2002,22.37,39.98,21.64,84398,110.89,112.15,85765,99.15,100.1,86755,35.78,36.838
2/19/2002,24.43,42.57,23.44,84398,108.76,110.15,85765,97.52,98.6,86755,34.68,35.375
2/20/2002,22.66,41.98,21.67,84398,110.59,109.05,85765,99.82,97.97,86755,35.15,34.908
2/21/2002,23.8,43.56,22.52,84398,108.3,109.931,85765,98.38,99.37,86755,33.48,34.79
2/22/2002,22.86,43.07,22.56,84398,109.64,108.35,85765,99.98,98.5,86755,33.65,33.619
2/25/2002,21.84,41.14,22,84398,111.45,109.748,85765,101.61,100.06,86755,35.01,34.008
2/26/2002,21.68,41.28,22.06,84398,111.22,111.6,85765,101.12,101.75,86755,34.88,35.232
2/27/2002,21.49,41.61,21.65,84398,111.65,111.961,85765,101.65,101.9,86755,34.4,35.397
2/28/2002,21.59,41.67,21.67,84398,111.15,111.834,85765,101.1,101.85,86755,33.78,34.514
3/1/2002,19.96,37.86,20.03,84398,113.74,111.72,85765,103.84,101.79,86755,35.74,34.154
